time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/03/25/14:16:41.223820,183,1648185401,223202184,map,697.145041495,111.254161609,0.0,0.0,-0.0,-0.999085245859,-0.0427629688639
2022/03/25/14:16:41.323567,184,1648185401,323014229,map,697.145041495,111.254161609,0.0,0.0,-0.0,-0.999085245859,-0.0427629688639
2022/03/25/14:16:41.423744,185,1648185401,423185543,map,697.145041495,111.254161609,0.0,0.0,-0.0,-0.999085245859,-0.0427629688639
2022/03/25/14:16:41.523790,186,1648185401,523244055,map,696.544069627,111.276359168,0.0,0.0,-0.0,-0.996417029305,-0.0845760232597
2022/03/25/14:16:41.623590,187,1648185401,623044860,map,696.544069627,111.276359168,0.0,0.0,-0.0,-0.996417029305,-0.0845760232597
2022/03/25/14:16:41.723576,188,1648185401,723044216,map,695.960773403,111.354050621,0.0,0.0,-0.0,-0.999138777608,-0.0414934100862
2022/03/25/14:16:41.823811,189,1648185401,823177716,map,695.960773403,111.354050621,0.0,0.0,-0.0,-0.999138777608,-0.0414934100862
2022/03/25/14:16:41.923676,190,1648185401,923058761,map,695.960773403,111.354050621,0.0,0.0,-0.0,-0.999138777608,-0.0414934100862
2022/03/25/14:16:42.023834,191,1648185402,23210258,map,695.386315001,111.431742074,0.0,0.0,-0.0,-0.997548978994,-0.0699716693253
2022/03/25/14:16:42.123776,192,1648185402,123057005,map,695.386315001,111.431742074,0.0,0.0,-0.0,-0.997548978994,-0.0699716693253
2022/03/25/14:16:42.223830,193,1648185402,223173894,map,694.803018777,111.498334749,0.0,0.0,-0.0,-0.998308014502,-0.0581472972769
2022/03/25/14:16:42.323636,194,1648185402,323024282,map,694.803018777,111.498334749,0.0,0.0,-0.0,-0.998308014502,-0.0581472972769
2022/03/25/14:16:42.423662,195,1648185402,423056437,map,694.803018777,111.498334749,0.0,0.0,-0.0,-0.998308014502,-0.0581472972769
2022/03/25/14:16:42.523539,196,1648185402,522942403,map,694.219722553,111.542729866,0.0,0.0,-0.0,-0.998169308754,-0.0604816588855
2022/03/25/14:16:42.623766,197,1648185402,623212750,map,694.219722553,111.542729866,0.0,0.0,-0.0,-0.998169308754,-0.0604816588855
2022/03/25/14:16:42.723861,198,1648185402,723230919,map,693.64526415,111.598223761,0.0,0.0,-0.0,-0.998199720138,-0.059977651804
2022/03/25/14:16:42.823958,199,1648185402,823238985,map,693.64526415,111.598223761,0.0,0.0,-0.0,-0.998199720138,-0.059977651804
2022/03/25/14:16:42.923891,200,1648185402,923232019,map,693.64526415,111.598223761,0.0,0.0,-0.0,-0.998199720138,-0.059977651804
2022/03/25/14:16:43.023878,201,1648185403,23232583,map,693.07964357,111.675915215,0.0,0.0,-0.0,-0.996756008388,-0.0804826673419
2022/03/25/14:16:43.123730,202,1648185403,123075700,map,693.07964357,111.675915215,0.0,0.0,-0.0,-0.996756008388,-0.0804826673419
2022/03/25/14:16:43.223686,203,1648185403,223131822,map,692.531698632,111.764705447,0.0,0.0,-0.0,-0.998581085858,-0.0532523705294
2022/03/25/14:16:43.323803,204,1648185403,323253643,map,692.531698632,111.764705447,0.0,0.0,-0.0,-0.998581085858,-0.0532523705294
2022/03/25/14:16:43.423807,205,1648185403,423227573,map,692.531698632,111.764705447,0.0,0.0,-0.0,-0.998581085858,-0.0532523705294
2022/03/25/14:16:43.523802,206,1648185403,523197061,map,691.95724023,111.842396901,0.0,0.0,-0.0,-0.997821692745,-0.0659687008158
2022/03/25/14:16:43.623805,207,1648185403,623238791,map,691.95724023,111.842396901,0.0,0.0,-0.0,-0.997821692745,-0.0659687008158
2022/03/25/14:16:43.723825,208,1648185403,723218760,map,691.40045747,111.920088355,0.0,0.0,-0.0,-0.996479249269,-0.0838397625045
2022/03/25/14:16:43.823660,209,1648185403,823058727,map,691.40045747,111.920088355,0.0,0.0,-0.0,-0.996479249269,-0.0838397625045
